age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
53,Self-emp-not-inc,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States
49,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States
28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines
60,Private,10th,6,Widowed,Tech-support,Unmarried,White,Female,0,0,40,United-States
53,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
55,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
27,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
31,Private,Assoc-voc,11,Divorced,Sales,Own-child,White,Female,0,0,38,United-States
30,Private,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States
57,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
44,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3411,0,40,United-States
55,Private,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States
54,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,48,United-States
34,Private,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,30,United-States
21,Private,Assoc-voc,11,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States
48,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,37,United-States
67,Self-emp-not-inc,1st-4th,2,Widowed,Other-service,Not-in-family,Black,Female,0,0,20,United-States
18,Private,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States
46,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
29,Federal-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1408,40,United-States
37,Private,Assoc-voc,11,Divorced,Tech-support,Own-child,White,Male,0,0,40,United-States
35,Self-emp-not-inc,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,8614,0,40,United-States
25,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Columbia
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States
22,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,Black,Female,0,0,25,United-States
29,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States
63,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
22,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States
69,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,United-States
27,Private,Masters,14,Never-married,Adm-clerical,Own-child,White,Male,0,0,45,United-States
31,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
41,Private,Some-college,10,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines
51,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,United-States
