age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
61.8,Self-emp-not-inc,Doctorate,13.35,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,99999.0,0.0,37.65,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.8,Self-emp-not-inc,5th-6th,9.35,Married-civ-spouse,Sales,Husband,Black,Female,0.0,3081.3,41.4,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
45.85,Self-emp-not-inc,Doctorate,14.55,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,69.1,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
44.7,Self-emp-not-inc,10th,11.55,Divorced,Tech-support,Unmarried,White,Male,0.0,2516.95,49.2,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
49.2,Self-emp-not-inc,Bachelors,13.25,Married-civ-spouse,Sales,Husband,Black,Male,99999.0,0.0,57.25,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
46.4,Self-emp-not-inc,Doctorate,12.8,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0.0,2415.0,41.3,United-States
